IPIC Ref No.,IPIC Comment
IPIC-4653,"Surveyors comments noted.It was not possible to retrieve the data logger from RCM, hence we are not able to comment on temperature or events.In the event of a formal claim, we would require the actual data logger downloaded and forwarded for further analysis into root cause and potential recovery action."
IPIC-4816,"Surveyors comments noted.Our analysis of the data logger show that container was powered on on the 13th November, same day as loaded to vessel.This indicates that container was not plugged in after being gated into Paranagua terminal and left off power for 8 days.We have found no indication of any malfunction.We recommend that full recovery is pursued against the terminal in BRPNG for not connecting the reefer to power and subsequent cargo damage."
IPIC-4656,"Surveyors comments noted.In the even of a formal claim, we would require the actual data logger to be downloaded and forwarded for further analysis into root cause and potential recovery."
IPIC-4657,"Surveyors comments noted.According to the data logger retrieved from RCM, unit was powered on and the set point was adjusted to +10 degree C on 17/12/2015 @ 10.45 hrs.Then on 18/12/2015 @ 00.04 hrs, the set point was wrongly adjusted to +3 degree C  and remained until 02/01/2016 @ 21.28 hrs where it was correctly adjusted back to +10 degree C.The reason for the incorrect settings are unknown to us, however in the event of a formal claim, recovery should be pursued against the third party in who's care the container was at the time of adjustment."
IPIC-4655,"Issue reefer malfunction, with repairs apparently not possible during  the voyage. Recovery action to be considered against party responsible for releasing the container with vents closed and vessel operators for not repairing container. "
IPIC-4670,Agree with surveyors remarks low temperatures during the course of transit. 
IPIC-4658,"Contents noted no issue, other than to 45 boxes. Recovery action against terminals Peru and or Algerciras for impact damage to container. "
IPIC-4665,"Surveyors comments noted.Cargo found in apparent sound condition, hence no claim expected"
IPIC-4689,"Surveyors comments noted.Claim has already been settled as per email received from jay.jean@maersk.com (Legal Claims Management, Korea)"
IPIC-4659,"Surveyors comments noted.Our analysis of the data logger show that reefer unit malfunctioned, showing several alarms.However according to surveyor the cargo was found in apparent good condition, hence no claim expected."
IPIC-4671,"Surveyors comments noted.Cargo found in apparent good condition, hence no claim expected. "
IPIC-4679,"Surveyors comments noted.In the event that a formal claim is received, we would require the actual data logger to be downloaded and forwarded for further analysis into root cause and potential recovery."
IPIC-4850,"Surveyors comments noted.MNBU0019015:Unfortunately RCM does not hold the data logger for this consignment, hence we are not able to comment on temperature or events.In the event of a formal claim, we would require the actual data logger to be downloaded and forwarded for further analysis, into root cause and potential recovery action.MNBU3425574:Our analysis of the data logger show that reefer unit was operating normally, without any indication of malfunction, and temperature was kept within range of set point."
IPIC-4850,"Surveyors comments noted.MNBU0019015:Unfortunately RCM does not hold the data logger for this consignment, hence we are not able to comment on temperature or events.In the event of a formal claim, we would require the actual data logger to be downloaded and forwarded for further analysis, into root cause and potential recovery action.MNBU3425574:Our analysis of the data logger show that reefer unit was operating normally, without any indication of malfunction, and temperature was kept within range of set point."
IPIC-4654,"vebt Container was gated in at the terminal on the 1st December, with the data logger activated 10.50 on the 3rd December.  At 18.50 hrs the unit is off power for 18 hours, and thereafter it takes 230 hours for return to be within 2 degrees of set point. Constant cooling and removal of latent field heat is critical for bananas at the onset of carriage to prevent a build up of ethylene a natural ripening hormone. If this is not controlled it will trigger the ripening process as bananas are a climacteric fruit.Recovery action against the terminal operator in Ecuador for not maintaining the cool chain whilst in their care.      "
IPIC-4664,Agree with the surveyors comments. Recovery action against the vessel for not repairing the unit and or alerting parties concerned of the issue. 
IPIC-4664,Agree with the surveyors comments. Recovery action against the vessel for not repairing the unit and or alerting parties concerned of the issue. 
IPIC-4669,"Agree with surveyors remarks on causation. Recovery against vessel operators.  "
IPIC-4673,"Surveyors comments noted.Container malfunctioned from onset of voyage, displaying multiple alarms and with temperatures outside range of set point.We recommend that full recovery is pursued against the depot, for releasing faulty equipment, subsequently causing cargo damage."
IPIC-4672,"There is a gap in the temperature readings on the 7th December and possibly with the high ambient temperatures in Malaysia this is where the temperature excursion occurred. Shippers temperature records requested but  not received would denote such. "
IPIC-4680,"Surveyors comments noted.Our analysis of the data logger show that container suffered malfunction on 23/12/2015, with alarms indicating high compressor temperatures.This could have been caused by a defective compressor or low level of refrigerant which causes reduce cooling capacity."
IPIC-4711,"Surveyors comments noted.looking at the the survey report for the original container,  the ice crystals found was deemed to originate from freezing at source.This may have been exacerbated by the stowage touching the doors, thereby effectively obstructing the air flow and subsequently reducing the cooling capacity.Furthermore, the 2 holes in the outer roof panel, will have caused water ingress into the foam layer, consequently reducing the insulation values due to increased heat transfer and subsequent condensation on the inside panels, accounting partly for the ice build-up in the T-floor. "
IPIC-4685,"Surveyors comments noted.Our analysis of data logger from PONU4959196 show that reefer was operating normally and that temperatures were maintained within range of set point.With regards to PONU4925914, no data logger was found in RCM. In the event that a formal claim is received, we would require the actual data logger to be downloaded and forwarded for further analysis into root cause and potential recovery."
